Dictionnaire de données — Observatoire de Population de Ouagadougou (OPO)						
Base de données de suivi démographique (23 tables)  •  327 variables  •  Source : Dictionnaire_des_variables.doc						
						
N°	Table	Description de la table	Nom de la variable	Libellé de la variable	Type de donnée	Modalités / Valeurs codées
44	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	burglary_ruminant	Victim of ruminant burglary in the last 12 months	Catégorielle (codes)	1=yes | 2=now | 99=Don't know or missing | 0=Not concerned
45	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	burglary_fowl	Victim of fowl burglary in the last 12 months	Catégorielle (codes)	1=yes | 2=now | 99=Don't know or missing | 0=Not concerned
46	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	burglary_harvest	Victim of harvest burglary in the last 12 months	Catégorielle (codes)	1=yes | 2=now | 99=Don't know or missing | 0=Not concerned
47	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	burglary_equipment	Victim of  equipement burglary in the last 12 months	Catégorielle (codes)	1=yes | 2=now | 99=Don't know or missing | 0=Not concerned
48	Tindividual	Core individual identification	individid	Individal ID	Identifiant	
49	Tindividual	Core individual identification	sex	Sex	Catégorielle (codes)	1=Man | 2=Woman
50	Tindividual	Core individual identification	ethnic_gp	Ethnic group	Catégorielle (codes)	1=Bobo | 2=Dioula | 3=Fulani | 4=Gourmantche | 5=Gourounsi | 6=Lobi | 7=Mossi | 8=Senoufo | 9=Touareg / Bella | 10=Autres | 11=Ne sait pas | 12=Bissa | 13=Samo
51	Tindividual	Core individual identification	birth_date	Date of birth	Date	
52	Tindividual	Core individual identification	fatherid	Father's ID if he is in the same concession	Identifiant	
53	Tindividual	Core individual identification	motherid	Mother's ID if he is in the same concession	Identifiant	
54	Tindividual	Core individual identification	entry_date	Date of interview	Date	
55	Tsocialgp	Household identification	socialgpid	Household ID	Identifiant	
56	Tsocialgp	Household identification	locationid	Location (courtyard) ID	Identifiant	
57	Tsocialgp	Household identification	entry_date	Date of interview	Date	
